ISO_code,Vaccine,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
KAZ,BCG,,,,,,,,,,,0.87,0.87,0.9,0.86,0.86,0.9,0.93,0.99,0.99,0.99,0.98,0.95,0.99,0.99,0.65,0.69,0.99,0.99,0.97,0.96,0.96,0.96,0.95,0.95,0.95,0.95
KEN,BCG,,,,,,0.82,0.8,,,,0.54,0.49,0.46,0.5,0.62,0.92,0.92,0.42,0.85,0.96,0.75,0.94,0.91,0.87,0.87,0.85,0.92,0.92,0.95,0.75,0.99,0.92,0.84,0.95,0.81,0.74
KIR,BCG,0.66,0.68,0.91,0.72,0.54,0.62,,0.68,0.98,0.99,0.93,0.94,0.79,0.87,0.6,0.47,0.99,0.99,0.97,0.7,0.8,0.85,0.99,0.91,0.94,0.99,0.99,0.9,0.83,0.76,0.87,0.86,0.95,0.86,0.72,0.98
KWT,BCG,0.02,,0.02,,0.03,0.03,,,,,,,,,,,,,,,,,,,,,0.84,0.94,0.99,0.99,0.98,0.99,0.97,0.99,0.99,0.99
KGZ,BCG,,,,,,,,,,,0.98,0.96,0.97,0.95,0.97,0.96,0.99,0.97,0.94,0.99,0.96,0.99,0.99,0.99,0.99,0.96,0.99,0.98,0.99,0.98,0.98,0.98,0.98,0.98,0.97,0.97
LAO,BCG,,0.04,,0.07,0.07,0.08,0.1,0.15,0.27,0.29,0.26,0.34,0.34,0.42,0.69,0.59,0.61,0.58,0.56,0.63,0.69,0.6,0.65,0.65,0.6,0.65,0.96,0.56,0.68,0.67,0.72,0.77,0.81,0.82,0.82,0.83
LVA,BCG,,,,,,,,,,,0.93,0.89,0.93,0.91,0.95,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.97,0.98,0.97,0.95,0.95,0.95,0.96,0.92,0.93,0.94,0.94,0.92,0.94
LSO,BCG,,0.89,0.93,0.98,0.78,0.79,0.73,0.77,0.84,0.8,0.73,0.68,0.57,0.49,0.56,0.48,0.49,0.53,0.55,0.64,,0.72,0.61,0.57,0.72,0.81,0.81,0.85,0.85,,0.8,0.68,0.68,0.65,0.51,0.73
LBR,BCG,,0.87,,,,,0.41,0.41,,,,,,,,0.84,0.84,0.38,0.28,0.43,0.45,0.77,0.67,0.43,0.6,0.82,0.89,0.86,0.92,0.92,0.76,0.85,0.85,0.87,0.73,0.74
LBY,BCG,0.88,0.78,0.89,0.84,0.85,0.87,0.92,0.95,0.92,0.9,0.9,0.95,0.99,0.99,0.99,0.99,0.97,0.97,0.97,0.97,,0.99,0.99,,0.99,0.99,0.99,0.99,0.99,0.99,,,0.99,,0.99,
LTU,BCG,,,,,,,0.99,0.96,0.94,0.94,0.94,0.87,0.94,0.98,0.96,0.97,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.98,0.98,0.97
LUX,BCG,,,,0.5,,,,,,,,,0.5,,,,0.59,0.59,,,,,,,,0.21,,,,,,,,,,
MDG,BCG,0.21,0.26,0.22,0.31,0.28,0.31,0.49,0.54,0.7,0.79,0.98,0.71,0.84,0.77,0.84,0.9,0.87,0.74,0.71,0.9,0.99,0.43,0.73,0.96,0.88,0.95,0.99,0.99,0.97,0.87,0.81,0.82,0.78,0.77,0.75,0.7
MWI,BCG,0.99,0.86,0.93,0.94,0.74,0.72,0.7,0.53,0.72,0.87,0.84,0.78,0.82,0.87,0.98,0.97,0.99,0.99,0.99,0.87,0.83,0.93,0.78,0.91,0.97,0.99,0.99,0.95,0.97,0.95,0.97,0.99,0.99,0.96,0.97,0.9
MYS,BCG,0.94,0.91,0.95,0.94,0.95,0.95,0.96,0.98,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.9,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99
MDV,BCG,,0.08,0.2,0.27,0.27,0.45,0.27,0.62,0.98,0.98,0.99,0.99,0.99,0.89,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.97,0.98,0.99,0.99,0.99,0.99
MLI,BCG,,0.19,,,0.19,0.17,0.17,0.29,0.64,0.85,0.82,0.68,0.7,0.74,0.67,0.8,0.79,0.76,0.78,0.84,0.82,0.68,0.94,0.87,0.88,0.95,0.98,0.97,0.99,0.81,0.97,0.99,0.99,0.89,0.84,0.98
MLT,BCG,,,,0.63,0.63,0.65,,0.79,0.67,0.79,0.77,0.87,0.79,0.77,0.77,0.92,0.96,,,,,,,,,0.55,0.8,0.78,0.86,0.82,,0.84,0.93,0.92,,
MHL,BCG,,,,,,,,,,,0.49,0.71,0.72,0.88,0.96,0.71,0.98,0.94,0.81,0.81,0.89,0.89,0.9,0.93,0.91,0.93,0.92,0.92,,0.98,0.99,,0.97,0.93,0.89,0.99
MRT,BCG,,0.57,,,,,0.73,0.77,0.6,0.64,0.79,0.65,0.81,0.84,0.93,0.93,0.93,0.69,,0.38,0.48,0.7,0.98,0.84,0.86,0.87,0.86,0.92,0.89,0.81,0.85,0.86,0.95,0.95,0.98,0.85
MUS,BCG,0.89,0.87,0.89,0.88,0.88,0.87,0.88,0.87,0.88,0.88,0.87,0.87,0.87,0.87,0.87,0.86,0.86,0.87,0.87,0.86,0.88,0.89,,0.99,0.99,0.99,0.97,0.98,0.96,0.95,0.99,0.99,0.99,0.99,0.97,0.98
MEX,BCG,0.48,0.41,0.5,0.52,0.47,0.16,0.54,0.71,0.73,0.8,0.67,0.89,0.95,0.93,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.91,0.96,0.99
FSM,BCG,,,,,,,,,,0.08,0.12,0.5,,,,0.5,,0.48,0.52,0.39,0.24,0.39,,0.64,0.62,0.7,0.55,0.82,,0.75,0.7,0.75,0.78,0.7,0.89,0.76
MCO,BCG,,,,,,,,,0.99,0.99,0.99,,0.98,,0.9,0.9,,,,0.99,,,0.9,0.9,,,,,,,,,,,,
